,flussrate (mL/min),retentionszeit_mit_s채ule (min),retentionszeit_ohne_s채ule (min),peakbreite_mit_s채ule (min),peakbreite_ohne_s채ule (min),tR_column (min),Totvolumen_Saeule (mL),index
0,2.0,0.6006449955288606,0.198077953756783,0.058732961507252,0.0496009391587935,0.40256704177207764,0.8051340835441553,
1,1.9,0.6255066030142888,0.2105385829349461,0.0732860517365687,0.0510645290383411,0.41496802007934275,0.7884392381507512,
2,1.7999999999999998,0.6759015776862529,0.2219128596046765,0.0732327044361436,0.0549575109412684,0.4539887180815764,0.8171796925468375,
3,1.6999999999999995,0.7006313040409534,0.2538682307314791,0.0704018521976943,0.0626746518546659,0.4467630733094743,0.759497224626106,
4,1.5999999999999996,0.7355178565576053,0.2767259912407109,0.0733333721770887,0.0552810430333128,0.45879186531689437,0.7340669845070308,
5,1.4999999999999996,0.7855838105862326,0.2856901963497177,0.0791753414194367,0.057794722352025,0.4998936142365149,0.7498404213547721,
6,1.3999999999999997,0.8508046472293335,0.3108356743302962,0.0878956135853841,0.0645976287648573,0.5399689728990373,0.7559565620586521,
7,1.2999999999999994,0.9005431736220687,0.3282438700265485,0.0879416430120637,0.0719408240468406,0.5722993035955202,0.7439890946741758,
8,1.1999999999999993,0.9653153057542256,0.354101117583053,0.0967055246750569,0.0763218370437196,0.6112141881711726,0.7334570258054066,
9,1.0999999999999992,1.0631526724604516,0.3857730531340926,0.0952817729484714,0.0851133393249838,0.677379619326359,0.7451175812589944,
10,0.9999999999999992,1.1536581982842131,0.4062217343646013,0.1035363778365684,0.0847196770583765,0.7474364639196118,0.7474364639196113,
11,0.899999999999999,1.293141304493127,0.4642103638125329,0.1147545904360067,0.0958481107077414,0.8289309406805941,0.7460378466125339,
12,0.7999999999999989,1.4454115504434435,0.5174695911583709,0.1298550674992901,0.1036971055885724,0.9279419592850726,0.7423535674280571,
13,0.6999999999999988,1.6427498497052682,0.5892934958333429,0.1439466139375521,0.1144742465410969,1.0534563538719253,0.7374194477103465,
14,0.5999999999999988,1.95722385193836,0.683589597402753,0.1508445122650035,0.127643886965166,1.273634254535607,0.7641805527213626,
15,0.4999999999999986,2.363020657827726,0.8264589204305919,0.1645212333650799,0.1495899220044818,1.5365617373971343,0.768280868698565,
16,0.3999999999999986,2.932695525100843,1.0206970967246838,0.1996684339320122,0.1727029938252593,1.9119984283761593,0.764799371350461,
17,0.2999999999999985,3.9362751717062943,1.3597092467731131,0.249008364891215,0.2156855211411975,2.576565924933181,0.7729697774799504,
18,0.1999999999999984,5.877282752617938,2.021289097295959,0.3356366402744371,0.3058878904000509,3.8559936553219787,0.7711987310643895,
19,0.0999999999999983,11.887312301363666,4.026153873613727,0.6530626438099832,0.5140330218393666,7.861158427749939,0.7861158427749806,
0,,,,,,,0.7616735189143571,Mittelwert
1,,,,,,,0.02327512221140414,Standardabweichung
