flussrate (mL/min),retentionszeit_mit_s채ule (min),retentionszeit_ohne_s채ule (min),peakbreite_mit_s채ule (min),peakbreite_ohne_s채ule (min)
2.5,0.45394891870728477,0.06798529088017456,0.02261949432876899,0.015957083399139482
2.4,0.4770263858107818,0.06958886499541916,0.02595878504322401,0.014969748662603572
2.3,0.4998291871684593,0.07312497364935784,0.0293219369852458,0.01603223056546649
2.1999999999999997,0.5216868017576058,0.07658790952107482,0.028306648198557948,0.017072147628009342
2.0999999999999996,0.5416088014829687,0.07906714385312898,0.029365591705047028,0.017600720263388037
1.9999999999999996,0.569253508297489,0.08533083173157763,0.029855602378156387,0.018120367701215202
1.8999999999999995,0.5977965632094747,0.09150442020098273,0.03277319509541611,0.02060635044236205
1.7999999999999994,0.6323043510304891,0.09673156030165768,0.035138514378198996,0.020614567261243395
1.6999999999999993,0.668337256233768,0.10370164523246556,0.037571641096119684,0.024575286873229525
1.5999999999999992,0.7049620223413857,0.10858701584108212,0.037694412998377363,0.025676036384763276
1.4999999999999991,0.7501601312139934,0.1203102273696856,0.038683692241195757,0.02891649647005194
1.399999999999999,0.8064179030504295,0.12975296809440467,0.04203302216120316,0.033347339418953355
1.299999999999999,0.8694643231468265,0.135434294777459,0.047277466061528634,0.03210818853130718
1.1999999999999988,0.9335142428599592,0.14657292966208316,0.04802704613446254,0.03558546063694454
1.0999999999999988,1.023412893579651,0.15680681111660102,0.0551887270477525,0.036683854217403694
0.9999999999999987,1.119648731941916,0.17106047378594258,0.05669928816526037,0.04034945593224119
0.8999999999999986,1.2457789610519532,0.18914636197848006,0.059259277644857125,0.044851524234717124
0.7999999999999985,1.3952376766196204,0.2070548335312247,0.06493464586846359,0.0503401461004798
0.6999999999999984,1.5952549717124682,0.23758485674776184,0.07730472537029873,0.054750728404120014
0.5999999999999983,1.8563665961530886,0.27592002853433906,0.08918293339926942,0.06350117974785656
0.4999999999999982,2.2174655038643576,0.32417075358230596,0.10135407145894283,0.07262276981332721
0.39999999999999813,2.7700083495060897,0.39472489407199496,0.11901584934486471,0.08383174536243493
0.29999999999999805,3.6773227039542244,0.5163119741474884,0.15254882151894344,0.10451959013790164
0.19999999999999796,5.508213395029048,0.7551859603256051,0.22093002465518186,0.14074624662177315
0.09999999999999787,11.001892926599663,1.4217666748388105,0.4201717834101728,0.22476848872084343
